1343681,012002004,주류,맥주,버드와이저,330mlx,BOX,2,기본 배송비(무료배송),n,,,0,y,,수동 묶음발주,n,n,,,공통,,,y,
1343682,012003001,주류,위스키,에반윌리엄스,750ml,EA,2,기본 배송비(무료배송),n,,,31300,y,,수동 묶음발주,n,y,,,공통,,,y,
1343683,012003002,주류,위스키,페이머스글라우스,750ml,EA,2,기본 배송비(무료배송),n,,,30000,y,,수동 묶음발주,n,y,,,공통,,,y,
1343684,002003001,농산물,과일류,[우양] 레몬 슬라이스 (냉동) 500g x 3,0.5kg x 3,EA,2,우양몰,y,,,18900,y,,자동발주,n,y,,,공통,y,,y,
1343685,002003002,농산물,과일류,[우양] 라임 슬라이스 (냉동) 500g x 3,0.5kg x 3,EA,2,우양몰,y,,,12900,y,쿠팡,자동발주,n,y,,,공통,y,,y,
1343686,005007001,조미료,시럽,[메가] 1883 레몬 시럽,1kg,EA,2,MEGACOFFEE,y,,,16000,y,MEGACOFFEE,자동발주,n,y,,,공통,y,,y,
1343687,005007002,조미료,시럽,[메가] 1883 라임 시럽,1kg,EA,2,MEGACOFFEE,y,,,16000,y,MEGACOFFEE,자동발주,n,y,,,공통,y,,y,
1343688,005007003,조미료,시럽,[메가] 포모나 스모키 얼그레이 시럽,1kg,EA,2,MEGACOFFEE,y,,,15300,y,MEGACOFFEE,자동발주,n,y,,,공통,y,,y,
1343689,013001001,일회용품,비닐류,"롤 쓰레기 비닐봉투 30p, 10L, 10개",300EA,BOX,2,기본 배송비(무료배송),n,,,10900,y,쿠팡,자동발주,n,y,,,공통,y,,y,
1343692,013003003,일회용품,종이용기,치킨트레이-디자인(중),200EA,BOX,2,기본 배송비(무료배송),n,,,18480,y,냅킨코리아,자동발주,n,y,,,공통,y,,y,
1343693,013003004,일회용품,종이용기,치킨 트레이 (소),600EA,BOX,2,기본 배송비(무료배송),n,,,43800,y,대흥포장,자동발주,n,y,,,공통,y,,y,
1343694,013003005,일회용품,종이용기,[배민] 치킨트레이(반반),200EA,BOX,2,배민상회자체,y,,,16800,y,배민상회,자동발주,n,n,,,공통,y,,y,
1343695,013001002,일회용품,비닐류,반투명비닐쇼핑백 봉투(4호),500EA,BOX,3,메이크팩비닐쇼핑백,n,,,33000,y,메이크팩,자동발주,n,y,,,공통,y,,y,
1343696,013002001,일회용품,플라스틱용기,PP EL 국물용기 105파이 중,1000EA,BOX,2,기본 배송비(무료배송),n,,,49000,y,용기에반하다,자동발주,n,y,,,공통,y,,y,y
1343697,013002002,일회용품,플라스틱용기,소스용기 75파이 소,2000EA,BOX,2,기본 배송비(무료배송),n,,,70880,y,다사자,자동발주,n,y,,,공통,y,,y,
1343698,013002003,일회용품,플라스틱용기,소스용기 70파이 소,3000EA,BOX,2,기본 배송비(무료배송),n,,,43500,y,다사자,자동발주,n,y,,,공통,y,,y,
1343699,013002004,일회용품,플라스틱용기,"일회용 죽용기 중 (떡볶이,볶음밥 용기)",200EA,BOX,2,기본 배송비(무료배송),n,,,25600,y,씨앤기업,자동발주,n,y,,,공통,y,y,y,
1343700,013004001,일회용품,스티커,딱돼지 스티커,500EA,PACK,1,,,,,20000,y,무애랑,수동발주,n,y,,,공통,y,,y,
1343701,013005001,일회용품,깃발,딱돼지 깃발,1000EA,PACK,2,기본 배송비(무료배송),n,,,170000,y,무애랑,수동발주,n,y,,,공통,,,,
1343702,013006001,일회용품,위생용품,미니무지 1매용 물티슈 S43,2000EA,BOX,2,기본 배송비(무료배송),n,,,30900,y,지앤티클린,자동발주,n,y,,,공통,y,,y,
1343703,013001003,일회용품,비닐류,500ml 음료수 전용 1구 포장 비닐,100EA,PACK,1,,,,,2100,y,대승포장,자동발주,n,n,,,공통,y,,y,
1343704,013007001,일회용품,장갑류,[다봄] 니트릴 장갑(소),100EA,EA,3,다봄푸드,y,,,4780,y,쿠팡,자동발주,n,y,,,공통,y,y,y,
1343705,013007002,일회용품,장갑류,[다봄] 니트릴 장갑(중),100EA,EA,3,다봄푸드,y,,,4780,y,쿠팡,자동발주,n,y,,,공통,y,y,y,
1343706,013007003,일회용품,장갑류,[다봄] 니트릴 장갑(대),100EA,EA,3,다봄푸드,y,,,4780,y,쿠팡,자동발주,n,y,,,공통,y,y,y,y
1343707,013007004,일회용품,장갑류,코멧 도톰한 엠보싱 위생장갑,500EA,BOX,2,기본 배송비(무료배송),n,,,8490,y,쿠팡,자동발주,n,y,,,공통,y,y,y,
1343708,013006002,일회용품,위생용품,탐사 깨끗한 플러스 키친타월,250매,12EA,2,기본 배송비(무료배송),n,,,14490,y,쿠팡,자동발주,n,y,,,공통,y,y,y,y
1343709,013006003,일회용품,위생용품,오프라이스 3겹 천연펄프 화장지 30m,30롤,BOX,2,기본 배송비(무료배송),n,,,13390,y,쿠팡,자동발주,n,y,,,공통,y,,y,
1343710,013008001,일회용품,수저,[배민] 고급 젓가락(크라프트),1000EA,BOX,2,배민상회자체,y,,,22500,y,배민상회,자동발주,n,y,,,공통,y,,y,y
1343711,013008002,일회용품,수저,일회용수저 개별 (뜯을필요없는숟가락/흑색/CN),1500EA,BOX,2,기본 배송비(무료배송),n,,,23900,y,씨앤기업,자동발주,n,y,,,공통,y,,y,
1343712,013001004,일회용품,비닐류,일회용 일반 비닐 식탁보,50EAx5,BOX,2,기본 배송비(무료배송),n,,,12500,y,쿠팡,자동발주,n,y,,,공통,y,,y,
1343713,013007005,일회용품,장갑류,아이템셀 튜립Lady 고무장갑,10EA,PACK,2,기본 배송비(무료배송),n,,,15210,y,쿠팡,자동발주,n,y,,,공통,y,y,y,
1343714,013011001,일회용품,고무류,고무나라 고무밴드 1kg 70 x 1.5 mm (고무줄),1kg,EA,2,기본 배송비(무료배송),n,,,8100,y,쿠팡,자동발주,n,y,,,공통,y,,y,
1343715,013010001,일회용품,종이필터류,식용유 정제기 필터 322 x 487mm  (3구용),100p,BOX,2,기본 배송비(무료배송),n,,,26000,y,쿠팡,자동발주,n,y,,,공통,y,,y,
